key,category,zh-TW,note
gm.editor-note-peace-mode-note,靜態HTML-GM,開啟後會立刻關閉所有玩家的全體攻擊，並允許玩家在任意位置重疊。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-compat-migrations-note,靜態HTML-GM,顯式遷移舊版本數據格式。先預覽影響範圍，確認後由服務端一次性寫入新真源格式。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-compensation-note,靜態HTML-GM,用於執行全服統一補償。按鈕會直接作用到線上與離線角色。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-database-source-note,靜態HTML-GM,按表查看當前數據庫中的玩家真源，不直接參與可視化編輯。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-global-mail-note,靜態HTML-GM,給當前全服玩家發送廣播郵件。正文走低頻 GM HTTP 接口，玩家收件箱再按需拉取詳情。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-gm-password-note,靜態HTML-GM,修改後立即生效，當前登入態不受影響。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-herb-stock-note,靜態HTML-GM,給當前所有已加載地圖裡的草藥採集點統一補充庫存，按地圖 tick 批量生效。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-player-migration-note,靜態HTML-GM,用於地圖大改後，把全服角色統一送回新手村出生點。,靜態 HTML：packages/client/gm.html
gm.editor-section-note-save-cleanup-note,靜態HTML-GM,手動清理全服玩家背包、坊市託管倉和裝備欄裡的無效物品。線上與離線角色都會處理。,靜態 HTML：packages/client/gm.html
gm.editor-section-title-compat-migrations,靜態HTML-GM,兼容遷移,靜態 HTML：packages/client/gm.html
gm.editor-section-title-compensation,靜態HTML-GM,補償,靜態 HTML：packages/client/gm.html
gm.editor-section-title-database-source,靜態HTML-GM,數據庫真源,靜態 HTML：packages/client/gm.html
gm.editor-section-title-global-mail,靜態HTML-GM,全服郵件,靜態 HTML：packages/client/gm.html
gm.editor-section-title-herb-stock,靜態HTML-GM,草藥庫存,靜態 HTML：packages/client/gm.html
gm.editor-section-title-player-migration,靜態HTML-GM,角色遷移,靜態 HTML：packages/client/gm.html
gm.editor-section-title-save-cleanup,靜態HTML-GM,存檔清理,靜態 HTML：packages/client/gm.html
gm.editor-tab-basic,靜態HTML-GM,基礎,靜態 HTML：packages/client/gm.html
gm.editor-tab-benefits,靜態HTML-GM,權益,靜態 HTML：packages/client/gm.html
gm.editor-tab-buffs,靜態HTML-GM,Buff,靜態 HTML：packages/client/gm.html
gm.editor-tab-items,靜態HTML-GM,物品,靜態 HTML：packages/client/gm.html
gm.editor-tab-mail,靜態HTML-GM,郵件,靜態 HTML：packages/client/gm.html
gm.editor-tab-position,靜態HTML-GM,位置,靜態 HTML：packages/client/gm.html
gm.editor-tab-quests,靜態HTML-GM,任務,靜態 HTML：packages/client/gm.html
gm.editor-tab-realm,靜態HTML-GM,屬性,靜態 HTML：packages/client/gm.html
gm.editor-tab-risk,靜態HTML-GM,風險檢測,靜態 HTML：packages/client/gm.html
gm.editor-tab-shortcuts,靜態HTML-GM,快捷操作,靜態 HTML：packages/client/gm.html
gm.editor-tab-techniques,靜態HTML-GM,功法,靜態 HTML：packages/client/gm.html
gm.editor-title,靜態HTML-GM,未選擇角色,靜態 HTML：packages/client/gm.html
gm.enhancement,靜態HTML-GM,強化,靜態 HTML：packages/client/gm.html
gm.external-memory,靜態HTML-GM,外部記憶體,靜態 HTML：packages/client/gm.html
gm.gather,靜態HTML-GM,採集,靜態 HTML：packages/client/gm.html
gm.gm-password,靜態HTML-GM,GM 密碼,靜態 HTML：packages/client/gm.html
gm.god-view,靜態HTML-GM,上帝視角,靜態 HTML：packages/client/gm.html
gm.god-view-hint,靜態HTML-GM,右鍵拖動 · 滾輪縮放 · 左鍵選中查看,靜態 HTML：packages/client/gm.html
gm.heap-free-reserved,靜態HTML-GM,Heap 預留空閒,靜態 HTML：packages/client/gm.html
gm.heap-total,靜態HTML-GM,Heap 總量,靜態 HTML：packages/client/gm.html
gm.heap-usage,靜態HTML-GM,Heap 使用率,靜態 HTML：packages/client/gm.html
gm.heap-used,靜態HTML-GM,Heap 已用,靜態 HTML：packages/client/gm.html
gm.heavy-instance-ranking,靜態HTML-GM,實例大戶榜,靜態 HTML：packages/client/gm.html
gm.host-uptime,靜態HTML-GM,宿主機 uptime,靜態 HTML：packages/client/gm.html
gm.inbound-total,靜態HTML-GM,上行總量,靜態 HTML：packages/client/gm.html
gm.info-actions,靜態HTML-GM,訊息與操作,靜態 HTML：packages/client/gm.html
gm.instance-list,靜態HTML-GM,實例列表,靜態 HTML：packages/client/gm.html
gm.instance-world-selected-detail,靜態HTML-GM,實例訊息、世界控制與選中目標詳情,靜態 HTML：packages/client/gm.html
gm.latest-map-tick,靜態HTML-GM,最近單圖 tick,靜態 HTML：packages/client/gm.html
gm.load-15m,靜態HTML-GM,15 分鐘負載,靜態 HTML：packages/client/gm.html
gm.load-1m,靜態HTML-GM,1 分鐘負載,靜態 HTML：packages/client/gm.html
gm.load-5m,靜態HTML-GM,5 分鐘負載,靜態 HTML：packages/client/gm.html
gm.logical-cores,靜態HTML-GM,邏輯核心數,靜態 HTML：packages/client/gm.html
gm.login-logo-daojie-yusheng.alt,靜態HTML-GM,道劫餘生,靜態 HTML：packages/client/gm.html
gm.login-stamp-stamp-forbidden,靜態HTML-GM,禁,靜態 HTML：packages/client/gm.html
gm.login-submit,靜態HTML-GM,入司,靜態 HTML：packages/client/gm.html
gm.login-subtitle-login-subtitle,靜態HTML-GM,獨立 GM 管理臺 · 僅限持密進入,靜態 HTML：packages/client/gm.html
gm.login-title-inspector-office,靜態HTML-GM,監察司,靜態 HTML：packages/client/gm.html
gm.logout,靜態HTML-GM,退出管理臺,靜態 HTML：packages/client/gm.html
gm.memory-estimate-meta,靜態HTML-GM,運行態記憶體畫像尚未生成。,靜態 HTML：packages/client/gm.html
gm.memory-heap-usage-note,靜態HTML-GM,已用 0 MB / 總量 0 MB,靜態 HTML：packages/client/gm.html
gm.memory-rss-heap-ratio-note,靜態HTML-GM,倍率越高，非堆佔比越大,靜態 HTML：packages/client/gm.html
gm.memory-snapshot-meta,靜態HTML-GM,記憶體明細顯示當前進程快照，建議配合“立即刷新”觀察變化。,靜態 HTML：packages/client/gm.html
gm.memory-usage,靜態HTML-GM,記憶體佔用,靜態 HTML：packages/client/gm.html
gm.network-breakdown-subtitle-cpu-breakdown-hint,靜態HTML-GM,按消耗分組展示；組內按當前排序口徑排列，並顯示總耗時、均秒耗時、均次耗時、總次數、均秒次數和總佔比,靜態 HTML：packages/client/gm.html
gm.network-breakdown-subtitle-heavy-instance-ranking-note,靜態HTML-GM,按實例元數據 + 怪物快照估算排序，優先看最重的圖,靜態 HTML：packages/client/gm.html
gm.network-breakdown-subtitle-object-domain-profile-note,靜態HTML-GM,按玩家 / 怪物 / 實例快照估算，便於先定位優化方向,靜態 HTML：packages/client/gm.html
gm.network-in-page-meta,靜態HTML-GM,第 1 / 1 頁 · 共 0 條,靜態 HTML：packages/client/gm.html
gm.network-in-page-next,靜態HTML-GM,下一頁,靜態 HTML：packages/client/gm.html
gm.network-in-page-prev,靜態HTML-GM,上一頁,靜態 HTML：packages/client/gm.html
gm.network-inbound-ranking,靜態HTML-GM,網路事件上行榜,靜態 HTML：packages/client/gm.html
gm.network-outbound-ranking,靜態HTML-GM,網路事件下行榜,靜態 HTML：packages/client/gm.html
gm.new-password,靜態HTML-GM,新密碼,靜態 HTML：packages/client/gm.html
gm.no-cpu-breakdown,靜態HTML-GM,當前還沒有 CPU 分項數據。,靜態 HTML：packages/client/gm.html
gm.no-inbound-events,靜態HTML-GM,當前還沒有累計上行事件。,靜態 HTML：packages/client/gm.html
gm.no-instance-memory-profile,靜態HTML-GM,當前還沒有實例記憶體畫像。,靜態 HTML：packages/client/gm.html
gm.no-outbound-events,靜態HTML-GM,當前還沒有累計下行事件。,靜態 HTML：packages/client/gm.html
gm.no-pathfinding-failures,靜態HTML-GM,當前還沒有尋路失敗記錄。,靜態 HTML：packages/client/gm.html
gm.no-runtime-memory-profile,靜態HTML-GM,當前還沒有運行態記憶體畫像。,靜態 HTML：packages/client/gm.html
gm.node-process-uptime,靜態HTML-GM,Node 進程 uptime,靜態 HTML：packages/client/gm.html
gm.node-visible-cpu-cores,靜態HTML-GM,Node 進程可見 CPU 核心,靜態 HTML：packages/client/gm.html
gm.normal,靜態HTML-GM,正常,靜態 HTML：packages/client/gm.html
gm.note-card-preparing-database-panel,靜態HTML-GM,正在準備數據庫管理面板…,靜態 HTML：packages/client/gm.html
gm.note-card-shortcuts-warning,靜態HTML-GM,這裡的快捷指令會直接影響全服角色狀態。線上角色會在下一息統一執行，離線角色會直接更新存檔。,靜態 HTML：packages/client/gm.html
gm.object-domain-profile,靜態HTML-GM,對象域畫像,靜態 HTML：packages/client/gm.html
gm.offline-count,靜態HTML-GM,離線人數,靜態 HTML：packages/client/gm.html
gm.offline-hanging,靜態HTML-GM,離線掛機,靜態 HTML：packages/client/gm.html
gm.online,靜態HTML-GM,線上,靜態 HTML：packages/client/gm.html
gm.online-count,靜態HTML-GM,線上人數,靜態 HTML：packages/client/gm.html
gm.online-first,靜態HTML-GM,線上優先,靜態 HTML：packages/client/gm.html
gm.open-player-mail,靜態HTML-GM,發郵件,靜態 HTML：packages/client/gm.html
gm.outbound-total,靜態HTML-GM,下行總量,靜態 HTML：packages/client/gm.html
gm.overview.online-save-note,靜態HTML-GM,線上玩家的修改會由服務端在下一息統一執行。離線玩家會直接更新存檔。,靜態 HTML：packages/client/gm.html
gm.overview.snapshot-save-note,靜態HTML-GM,預設編輯器展示的是完整運行態快照；高級區可切換查看真實存檔態 JSON。像 `actions`、`finalAttrs`、`numericStats`、`realm` 這類派生字段，保存後仍以服務端重算結果為準。,靜態 HTML：packages/client/gm.html
gm.panel-stamp-stamp-command,靜態HTML-GM,令,靜態 HTML：packages/client/gm.html
gm.panel-stamp-stamp-office,靜態HTML-GM,司,靜態 HTML：packages/client/gm.html
gm.panel-stamp-stamp-redeem,靜態HTML-GM,兌,靜態 HTML：packages/client/gm.html
gm.partition-editor,靜態HTML-GM,分區數據編輯,靜態 HTML：packages/client/gm.html
gm.partition-editor-subtitle,靜態HTML-GM,按基礎、位置、屬性、功法、物品、任務等分開查看與保存，原始 JSON 保留在高級區,靜態 HTML：packages/client/gm.html
gm.password-save,靜態HTML-GM,修改 GM 密碼,靜態 HTML：packages/client/gm.html
gm.password.placeholder,靜態HTML-GM,輸入 GM 管理密碼,靜態 HTML：packages/client/gm.html
gm.path-cancelled,靜態HTML-GM,尋路取消,靜態 HTML：packages/client/gm.html
gm.path-queue,靜態HTML-GM,尋路隊列,靜態 HTML：packages/client/gm.html
gm.path-workers,靜態HTML-GM,尋路線程,靜態 HTML：packages/client/gm.html
gm.pathfinding-drop-note,靜態HTML-GM,等待丟棄 0 · 結果過期 0,靜態 HTML：packages/client/gm.html
gm.pathfinding-expanded-note,靜態HTML-GM,峰值 0 · 成功 0,靜態 HTML：packages/client/gm.html
gm.pathfinding-queue-note,靜態HTML-GM,峰值 0 ms · 隊列峰值 0,靜態 HTML：packages/client/gm.html
gm.pathfinding-reset-meta,靜態HTML-GM,尋路統計區間尚未開始。,靜態 HTML：packages/client/gm.html
gm.pathfinding-run-note,靜態HTML-GM,峰值 0 ms · 已完成 0,靜態 HTML：packages/client/gm.html
gm.pathfinding-summary,靜態HTML-GM,尋路調度摘要,靜態 HTML：packages/client/gm.html
gm.peace-mode,靜態HTML-GM,和平模式,靜態 HTML：packages/client/gm.html
gm.player-book,靜態HTML-GM,角色冊,靜態 HTML：packages/client/gm.html
gm.player-book-subtitle,靜態HTML-GM,列表顯示賬號、角色名、顯示名；搜索支持賬號、角色名、顯示名和地圖中文名,靜態 HTML：packages/client/gm.html
gm.player-bulk-ban-by-risk,靜態HTML-GM,預覽並批量封號,靜態 HTML：packages/client/gm.html
gm.player-bulk-ban-preview,靜態HTML-GM,尚未生成批量封號預覽。,靜態 HTML：packages/client/gm.html
gm.player-bulk-ban-reason.placeholder,靜態HTML-GM,批量封號原因（可選）,靜態 HTML：packages/client/gm.html
gm.player-database-meta,靜態HTML-GM,當前還沒有數據庫表數據。,靜態 HTML：packages/client/gm.html
gm.player-search.placeholder,靜態HTML-GM,搜索賬號 / 角色名 / 顯示名 / 地圖,靜態 HTML：packages/client/gm.html
gm.player.presence.offline,靜態HTML-GM,離線,靜態 HTML：packages/client/gm.html
gm.preparing-redeem-editor,靜態HTML-GM,正在準備分組編輯器…,靜態 HTML：packages/client/gm.html
gm.presence-all,靜態HTML-GM,線上狀態: 全部,靜態 HTML：packages/client/gm.html
gm.process-latest-sample,靜態HTML-GM,全進程最近一次採樣窗口,靜態 HTML：packages/client/gm.html
gm.process-resident-memory,靜態HTML-GM,進程常駐記憶體,靜態 HTML：packages/client/gm.html
gm.process-system-cpu,靜態HTML-GM,進程累計 system CPU,靜態 HTML：packages/client/gm.html
gm.process-uptime,靜態HTML-GM,進程運行時長,靜態 HTML：packages/client/gm.html
gm.process-user-cpu,靜態HTML-GM,進程累計 user CPU,靜態 HTML：packages/client/gm.html
gm.realm-asc,靜態HTML-GM,境界從低到高,靜態 HTML：packages/client/gm.html
gm.realm-desc,靜態HTML-GM,境界從高到低,靜態 HTML：packages/client/gm.html
gm.redeem-code-list,靜態HTML-GM,兌換碼列表,靜態 HTML：packages/client/gm.html
gm.redeem-code-list-subtitle,靜態HTML-GM,可查看使用狀態，並銷燬指定可用兌換碼,靜態 HTML：packages/client/gm.html
gm.redeem-group-editor,靜態HTML-GM,分組編輯,靜態 HTML：packages/client/gm.html
gm.redeem-group-editor-subtitle,靜態HTML-GM,新建時選擇獎勵物品和數量，後續也可繼續修改,靜態 HTML：packages/client/gm.html
gm.redeem-group-list,靜態HTML-GM,分組列表,靜態 HTML：packages/client/gm.html
gm.redeem-group-list-subtitle,靜態HTML-GM,查看每個分組的兌換碼總數、已使用數和可用數,靜態 HTML：packages/client/gm.html
gm.redeem-status,靜態HTML-GM,兌換碼數據讀取中…,靜態 HTML：packages/client/gm.html
gm.refresh-player,靜態HTML-GM,刷新當前玩家,靜態 HTML：packages/client/gm.html
gm.refresh-state,靜態HTML-GM,立即刷新,靜態 HTML：packages/client/gm.html
gm.remove-all-bots,靜態HTML-GM,移除全部機器人,靜態 HTML：packages/client/gm.html
gm.remove-bot,靜態HTML-GM,移除該機器人,靜態 HTML：packages/client/gm.html
gm.reset-cpu-stats,靜態HTML-GM,重置 CPU 統計,靜態 HTML：packages/client/gm.html
gm.reset-heaven-gate,靜態HTML-GM,重置天門,靜態 HTML：packages/client/gm.html
gm.reset-network-stats,靜態HTML-GM,重置流量統計,靜態 HTML：packages/client/gm.html
gm.reset-pathfinding-stats,靜態HTML-GM,重置尋路統計,靜態 HTML：packages/client/gm.html
gm.reset-player,靜態HTML-GM,回出生點,靜態 HTML：packages/client/gm.html
gm.resident-gap,靜態HTML-GM,常駐差額,靜態 HTML：packages/client/gm.html
gm.resident-gap-note,靜態HTML-GM,RSS - Heap 總量 - 外部記憶體，近似 native/棧/代碼段,靜態 HTML：packages/client/gm.html
gm.risk-asc,靜態HTML-GM,風險從低到高,靜態 HTML：packages/client/gm.html
gm.risk-desc,靜態HTML-GM,風險從高到低,靜態 HTML：packages/client/gm.html
gm.rss-heap-ratio,靜態HTML-GM,RSS / Heap 已用,靜態 HTML：packages/client/gm.html
gm.rss-memory,靜態HTML-GM,RSS 記憶體,靜態 HTML：packages/client/gm.html
gm.save-player,靜態HTML-GM,保存當前標籤,靜態 HTML：packages/client/gm.html
gm.select-instance-left,靜態HTML-GM,從左側選擇一個實例,靜態 HTML：packages/client/gm.html
gm.select-instance-runtime,靜態HTML-GM,選擇實例查看運行時狀態,靜態 HTML：packages/client/gm.html
gm.select-redeem-group,靜態HTML-GM,請選擇一個分組查看兌換碼。,靜態 HTML：packages/client/gm.html
gm.server-logs-load-older,靜態HTML-GM,加載更早 100 行,靜態 HTML：packages/client/gm.html
gm.server-logs-meta,靜態HTML-GM,日誌尚未加載。,靜態 HTML：packages/client/gm.html
gm.server-logs-refresh,靜態HTML-GM,刷新最近 100 行,靜態 HTML：packages/client/gm.html
gm.server-subtab-cpu,靜態HTML-GM,CPU 訊息,靜態 HTML：packages/client/gm.html
gm.server-subtab-database,靜態HTML-GM,數據庫,靜態 HTML：packages/client/gm.html
gm.server-subtab-logs,靜態HTML-GM,日誌,靜態 HTML：packages/client/gm.html
gm.server-subtab-memory,靜態HTML-GM,記憶體訊息,靜態 HTML：packages/client/gm.html
gm.server-subtab-overview,靜態HTML-GM,總覽,靜態 HTML：packages/client/gm.html
gm.server-subtab-traffic,靜態HTML-GM,流量統計,靜態 HTML：packages/client/gm.html
gm.shell-brand-daojie-yusheng-gm,靜態HTML-GM,道劫餘生 · 監察司,靜態 HTML：packages/client/gm.html
gm.shell-subtitle-batch-high-frequency-gm-actions,靜態HTML-GM,批量執行高頻 GM 操作,靜態 HTML：packages/client/gm.html
gm.shell-subtitle-redeem-management-subtitle,靜態HTML-GM,管理分組獎勵、生成兌換碼、查看使用情況與銷燬指定兌換碼,靜態 HTML：packages/client/gm.html
gm.shell-subtitle-server-overview-subtitle,靜態HTML-GM,全服監察總覽,靜態 HTML：packages/client/gm.html
gm.shell-title-daojie-yusheng,靜態HTML-GM,道劫餘生,靜態 HTML：packages/client/gm.html
gm.shell-title-redeem-management,靜態HTML-GM,兌換碼管理,靜態 HTML：packages/client/gm.html
gm.shortcut-add-herb-stock-1000,靜態HTML-GM,全圖草藥庫存 +1000,靜態 HTML：packages/client/gm.html
gm.shortcut-cleanup-abnormal-temporary-tiles,靜態HTML-GM,清理全圖異常臨時石頭,靜態 HTML：packages/client/gm.html
gm.shortcut-cleanup-invalid-items,靜態HTML-GM,清理全部玩家無效物品,靜態 HTML：packages/client/gm.html
gm.shortcut-compensate-combat-exp-2026-04-09,靜態HTML-GM,戰鬥經驗補償-2026-04-09,靜態 HTML：packages/client/gm.html
gm.shortcut-compensate-foundation-2026-04-09,靜態HTML-GM,底蘊補償-2026-04-09,靜態 HTML：packages/client/gm.html
gm.shortcut-delete-empty-custom-technique-books,靜態HTML-GM,清理空白功法殘卷,靜態 HTML：packages/client/gm.html
gm.shortcut-migrate-ai-arts-strength-v1-to-v2,靜態HTML-GM,遷移舊版AI術法草稿,靜態 HTML：packages/client/gm.html
gm.shortcut-migrate-recovery-pills,靜態HTML-GM,恢復丹藥遷移,靜態 HTML：packages/client/gm.html
gm.shortcut-recover-empty-custom-technique-books,靜態HTML-GM,修復空白功法殘卷,靜態 HTML：packages/client/gm.html
gm.shortcut-refresh-online-technique-templates,靜態HTML-GM,刷新線上玩家功法模板,靜態 HTML：packages/client/gm.html
gm.shortcut-repair-market-storage-item-ids,靜態HTML-GM,修復坊市託管倉舊ID,靜態 HTML：packages/client/gm.html
gm.shortcut-repair-quest-progress-payloads,靜態HTML-GM,修復歷史任務進度Payload,靜態 HTML：packages/client/gm.html
gm.shortcut-return-all-to-default-spawn,靜態HTML-GM,所有角色回新手村出生點,靜態 HTML：packages/client/gm.html
gm.spawn-bots,靜態HTML-GM,在選中角色附近生傀儡,靜態 HTML：packages/client/gm.html
gm.summary-memory,靜態HTML-GM,0 MB,靜態 HTML：packages/client/gm.html
gm.summary-peace-mode,靜態HTML-GM,關閉,靜態 HTML：packages/client/gm.html
gm.summary-tick,靜態HTML-GM,0 ms,靜態 HTML：packages/client/gm.html
gm.system-cpu-time,靜態HTML-GM,內核態 CPU 時間,靜態 HTML：packages/client/gm.html
gm.system-load-average,靜態HTML-GM,系統 load average,靜態 HTML：packages/client/gm.html
gm.system-uptime,靜態HTML-GM,系統運行時長,靜態 HTML：packages/client/gm.html
gm.tab-players,靜態HTML-GM,玩家管理,靜態 HTML：packages/client/gm.html
gm.tab-redeem,靜態HTML-GM,兌換碼,靜態 HTML：packages/client/gm.html
gm.tab-server,靜態HTML-GM,伺服器訊息,靜態 HTML：packages/client/gm.html
gm.tab-shortcuts,靜態HTML-GM,快捷指令,靜態 HTML：packages/client/gm.html
gm.tab-world,靜態HTML-GM,世界管理,靜態 HTML：packages/client/gm.html
gm.tick-window,靜態HTML-GM,tick 佔窗,靜態 HTML：packages/client/gm.html
gm.toggle-peace-mode,靜態HTML-GM,切換和平模式,靜態 HTML：packages/client/gm.html
gm.total-inbound,靜態HTML-GM,累計上行,靜態 HTML：packages/client/gm.html
gm.total-outbound,靜態HTML-GM,累計下行,靜態 HTML：packages/client/gm.html
gm.total-players,靜態HTML-GM,角色總數,靜態 HTML：packages/client/gm.html
gm.traffic-reset-meta,靜態HTML-GM,統計區間尚未開始。,靜態 HTML：packages/client/gm.html
gm.traffic-total-in-note,靜態HTML-GM,均次 0 B · 均秒 0 B/s,靜態 HTML：packages/client/gm.html
gm.traffic.client-to-server-bytes,靜態HTML-GM,客戶端 -> 服務端累計字節,靜態 HTML：packages/client/gm.html
gm.traffic.server-to-client-bytes,靜態HTML-GM,服務端 -> 客戶端累計字節,靜態 HTML：packages/client/gm.html
gm.user-cpu-time,靜態HTML-GM,用戶態 CPU 時間,靜態 HTML：packages/client/gm.html
gm.v8-heap-total,靜態HTML-GM,V8 當前堆容量,靜態 HTML：packages/client/gm.html
gm.v8-heap-used,靜態HTML-GM,V8 已使用堆,靜態 HTML：packages/client/gm.html
gm.v8-reserved-unused,靜態HTML-GM,V8 已申請但尚未使用,靜態 HTML：packages/client/gm.html
heaven-gate.action.cancel,開天門,取消,
heaven-gate.action.confirm,開天門,確認,
heaven-gate.action.confirm-enter,開天門,確認入天門,
heaven-gate.action.confirm-open,開天門,確認開天門,
heaven-gate.action.confirm-reroll,開天門,確認逆天改命,
heaven-gate.action.confirm-restore,開天門,確認補回,
heaven-gate.action.confirm-sever,開天門,確認斬斷,
heaven-gate.action.enter,開天門,入天門,
heaven-gate.action.open,開天門,開天門,
heaven-gate.action.reroll,開天門,逆天改命,
heaven-gate.action.restore,開天門,補,
heaven-gate.action.restore-full,開天門,補回,
heaven-gate.action.sever,開天門,斬,
heaven-gate.action.sever-full,開天門,斬斷,
heaven-gate.modal.close-hint,開天門,點擊空白處關閉,
heaven-gate.popup.enter-desc,開天門,入天門會正式寫入本次靈根並完成開天門，但不會代替突破動作。入天門後，多數情況下結果即定，難以再重抽或逆天改命。,
heaven-gate.popup.open-desc,開天門,開天門不耗境界修為。多靈根則更易出現，斬後更偏單一高值；被斬屬性本局不再出現。對結果不滿可入天門前逆天改命重開。,
heaven-gate.popup.reroll-desc,開天門,逆天改命會消耗 {cost} 點境界修為，並清掉當前結果，退回重新開天門狀態。,
heaven-gate.popup.restore-desc,開天門,補回會使該靈根重入隨機池，並提高複合可能；補回同樣消耗 {cost} 點境界修為（上限 {percent}%）；當前結果會失效並退回可重開。,
heaven-gate.popup.sever-desc,開天門,斬斷後，此係將不參與本次隨機；留數越少，單條越易高值，但該系本局將不再出現。消耗 {cost} 點境界修為（上限 {percent}%）；當前已有結果會失效並退回可重開。,
heaven-gate.popup.sever-title,開天門,確認{action}{element}靈根,
heaven-gate.toast.max-sever,開天門,最多隻能斬斷四條靈根。,
heaven-gate.toast.no-player,開天門,當前未獲取到角色狀態。,
heaven-gate.toast.unavailable,開天門,當前已完成入天門，或暫時不處於可開天門狀態。,
world-migration.line.peaceful,跨界,虛境,
world-migration.line.real,跨界,現世,
world-migration.modal.hint,跨界,切入他道後，隨其之道。,
world-migration.modal.subtitle,跨界,當前世界：{world},
world-migration.modal.title,跨界,世界遷移,
world-migration.toast.not-ready,跨界,身未安定，暫不可跨界。,
offline-gain.toast.confirm-send-failed,離線掛機,連接尚未就緒，請稍後再次確認收取,
offline-gain.toast.confirm-timeout,離線掛機,雲端確認結果尚未返回，請檢查連接後重試,
offline-gain.toast.local-save-failed,離線掛機,離線掛機收益已確認，本地歷史保存失敗，雲端總賬仍已保留,
offline-gain.toast.saved,離線掛機,離線掛機收益已確認並保存：{count} 條,
offline-gain.modal.confirm-btn,離線收益,確認收取,
offline-gain.modal.confirming-btn,離線收益,正在確認…,
offline-gain.modal.hint.confirm,離線收益,確認後將結算雲端離線收益並進入遊戲,
offline-gain.modal.hint.confirming,離線收益,正在結算雲端離線收益，請稍候,
offline-gain.modal.hint.save-failed,離線收益,本地歷史無法持久化，確認後仍會進入遊戲,
offline-gain.modal.hint.saved,離線收益,已存入本地瀏覽器,
offline-gain.modal.subtitle,離線收益,{count} 次離線記錄 · {duration},
offline-gain.modal.title,離線收益,離線掛機收益,
connection.auth.expired-login,連接,靈氣印記已散，請重新入世,登入態失效提示
connection.bootstrap.unavailable,連接,當前角色所在世界暫不可用，請稍後重試,角色運行時引導失敗提示
connection.error.disconnected,連接,天地失聯：{message},連接失敗提示
connection.kicked.removed,連接,會話已失效，請重新入世,會話移除提示
connection.kicked.replaced,連接,此身已在別處顯化,頂號登出提示
connection.kicked.server-shutdown,連接,伺服器正在重啟，請稍後重歸天地,伺服器關停重啟提示
connection.redeem.disconnected,連接,氣機已斷，兌換未竟,斷線拒絕兌換碼提示
connection.session.restored,連接,靈氣牽引已續，重歸天地...,會話續期成功提示
connection.status.offline,連接,離線,離線狀態
connection.status.redirecting,連接,遷移,重定向連接狀態
connection.status.restoring,連接,重歸,重連狀態
connection.toast.reconnecting,連接,天地氣機暫斷，正嘗試重連...,斷線重連提示
runtime.toast.restart-soon,連接,天道有變，即將重啟...,
body-training.bonus.all-attrs,煉體,全屬性+{percent}%,
body-training.bonus.none,煉體,全屬性暫未提升,
body-training.foundation.direct-infuse,煉體,當前可直接灌入 {foundation} 點底蘊。,
body-training.foundation.max-reach-level,煉體,當前最多可直達第 {level} 層。,
body-training.infuse.action,煉體,灌注,
body-training.infuse.all-action,煉體,全部灌注,
body-training.infuse.all-foundation,煉體,全部底蘊,
body-training.infuse.available-foundation,煉體,可用底蘊,
body-training.infuse.available-infuse-label,煉體,當前可灌,
body-training.infuse.confirm,煉體,確認灌注,
body-training.infuse.convert-exp,煉體,轉化經驗,
body-training.infuse.cost-foundation,煉體,消耗底蘊,
body-training.infuse.detail.insufficient-one-level,煉體,當前底蘊暫不足提升一層，可直接灌注 {foundation} 點底蘊。,
body-training.infuse.detail.rate,煉體,1 點底蘊 = {exp} 點煉體經驗。,
body-training.infuse.foundation-count,煉體,{count} 底蘊,
body-training.infuse.insufficient-foundation,煉體,底蘊不足,
body-training.infuse.level-gain,煉體,+{level} 層,
body-training.infuse.max-level-gain-label,煉體,最多可升,
body-training.infuse.no-foundation,煉體,當前沒有可用於灌注的底蘊。,
body-training.infuse.note.all,煉體,本次將直接灌入全部 {cost} 點底蘊。,
body-training.infuse.note.level,煉體,本次需要 {exp} 點煉體經驗，換算為 {cost} 點底蘊。,
body-training.infuse.pick-mode,煉體,選擇灌注方式,
body-training.infuse.preview-exp,煉體,預計當前經驗,
body-training.infuse.preview-level,煉體,預計境界,
body-training.infuse.preview.max-level-gain,煉體,本次最多可提升 {level} 層,
body-training.infuse.preview.no-level-gain,煉體,可先灌注底蘊積累經驗,
body-training.infuse.subtitle.current-level,煉體,當前第 {level} 層,
body-training.infuse.title,煉體,灌注煉體,
body-training.infuse.unavailable,煉體,暫不可用,
body-training.kicker.level,煉體,煉體層數,
body-training.label.current-bonus,煉體,當前總加成,
body-training.label.current-foundation,煉體,當前底蘊,
body-training.level,煉體,第 {level} 層,
body-training.remain-exp,煉體,距下一層還需 {exp} 煉體經驗,
craft.workbench.alchemy.action.cancel,煉製,取消{modeLabel},
craft.workbench.alchemy.action.cancel-activity,煉製,取消當前{activityName},
craft.workbench.alchemy.action.delete-preset,煉製,刪除已選,
craft.workbench.alchemy.action.full-start.alchemy,煉製,按完整丹方煉製,
craft.workbench.alchemy.action.full-start.forging,煉製,按完整器方煉製,
