key,category,zh-CN,note
gm.login-title-inspector-office,静态HTML-GM,监察司,静态 HTML：packages/client/gm.html
gm.logout,静态HTML-GM,退出管理台,静态 HTML：packages/client/gm.html
gm.memory-estimate-meta,静态HTML-GM,运行态内存画像尚未生成。,静态 HTML：packages/client/gm.html
gm.memory-heap-usage-note,静态HTML-GM,已用 0 MB / 总量 0 MB,静态 HTML：packages/client/gm.html
gm.memory-rss-heap-ratio-note,静态HTML-GM,倍率越高，非堆占比越大,静态 HTML：packages/client/gm.html
gm.memory-snapshot-meta,静态HTML-GM,内存明细显示当前进程快照，建议配合“立即刷新”观察变化。,静态 HTML：packages/client/gm.html
gm.memory-usage,静态HTML-GM,内存占用,静态 HTML：packages/client/gm.html
gm.network-breakdown-subtitle-cpu-breakdown-hint,静态HTML-GM,按消耗分组展示；组内按当前排序口径排列，并显示总耗时、均秒耗时、均次耗时、总次数、均秒次数和总占比,静态 HTML：packages/client/gm.html
gm.network-breakdown-subtitle-heavy-instance-ranking-note,静态HTML-GM,按实例元数据 + 怪物快照估算排序，优先看最重的图,静态 HTML：packages/client/gm.html
gm.network-breakdown-subtitle-object-domain-profile-note,静态HTML-GM,按玩家 / 怪物 / 实例快照估算，便于先定位优化方向,静态 HTML：packages/client/gm.html
gm.network-in-page-meta,静态HTML-GM,第 1 / 1 页 · 共 0 条,静态 HTML：packages/client/gm.html
gm.network-in-page-next,静态HTML-GM,下一页,静态 HTML：packages/client/gm.html
gm.network-in-page-prev,静态HTML-GM,上一页,静态 HTML：packages/client/gm.html
gm.network-inbound-ranking,静态HTML-GM,网络事件上行榜,静态 HTML：packages/client/gm.html
gm.network-outbound-ranking,静态HTML-GM,网络事件下行榜,静态 HTML：packages/client/gm.html
gm.new-password,静态HTML-GM,新密码,静态 HTML：packages/client/gm.html
gm.no-cpu-breakdown,静态HTML-GM,当前还没有 CPU 分项数据。,静态 HTML：packages/client/gm.html
gm.no-inbound-events,静态HTML-GM,当前还没有累计上行事件。,静态 HTML：packages/client/gm.html
gm.no-instance-memory-profile,静态HTML-GM,当前还没有实例内存画像。,静态 HTML：packages/client/gm.html
gm.no-outbound-events,静态HTML-GM,当前还没有累计下行事件。,静态 HTML：packages/client/gm.html
gm.no-pathfinding-failures,静态HTML-GM,当前还没有寻路失败记录。,静态 HTML：packages/client/gm.html
gm.no-runtime-memory-profile,静态HTML-GM,当前还没有运行态内存画像。,静态 HTML：packages/client/gm.html
gm.node-process-uptime,静态HTML-GM,Node 进程 uptime,静态 HTML：packages/client/gm.html
gm.node-visible-cpu-cores,静态HTML-GM,Node 进程可见 CPU 核心,静态 HTML：packages/client/gm.html
gm.normal,静态HTML-GM,正常,静态 HTML：packages/client/gm.html
gm.note-card-preparing-database-panel,静态HTML-GM,正在准备数据库管理面板…,静态 HTML：packages/client/gm.html
gm.note-card-shortcuts-warning,静态HTML-GM,这里的快捷指令会直接影响全服角色状态。在线角色会在下一息统一执行，离线角色会直接更新存档。,静态 HTML：packages/client/gm.html
gm.object-domain-profile,静态HTML-GM,对象域画像,静态 HTML：packages/client/gm.html
gm.offline-count,静态HTML-GM,离线人数,静态 HTML：packages/client/gm.html
gm.offline-hanging,静态HTML-GM,离线挂机,静态 HTML：packages/client/gm.html
gm.online,静态HTML-GM,在线,静态 HTML：packages/client/gm.html
gm.online-count,静态HTML-GM,在线人数,静态 HTML：packages/client/gm.html
gm.online-first,静态HTML-GM,在线优先,静态 HTML：packages/client/gm.html
gm.open-player-mail,静态HTML-GM,发邮件,静态 HTML：packages/client/gm.html
gm.outbound-total,静态HTML-GM,下行总量,静态 HTML：packages/client/gm.html
gm.overview.online-save-note,静态HTML-GM,在线玩家的修改会由服务端在下一息统一执行。离线玩家会直接更新存档。,静态 HTML：packages/client/gm.html
gm.overview.snapshot-save-note,静态HTML-GM,默认编辑器展示的是完整运行态快照；高级区可切换查看真实存档态 JSON。像 `actions`、`finalAttrs`、`numericStats`、`realm` 这类派生字段，保存后仍以服务端重算结果为准。,静态 HTML：packages/client/gm.html
gm.panel-stamp-stamp-command,静态HTML-GM,令,静态 HTML：packages/client/gm.html
gm.panel-stamp-stamp-office,静态HTML-GM,司,静态 HTML：packages/client/gm.html
gm.panel-stamp-stamp-redeem,静态HTML-GM,兑,静态 HTML：packages/client/gm.html
gm.partition-editor,静态HTML-GM,分区数据编辑,静态 HTML：packages/client/gm.html
gm.partition-editor-subtitle,静态HTML-GM,按基础、位置、属性、功法、物品、任务等分开查看与保存，原始 JSON 保留在高级区,静态 HTML：packages/client/gm.html
gm.password-save,静态HTML-GM,修改 GM 密码,静态 HTML：packages/client/gm.html
gm.password.placeholder,静态HTML-GM,输入 GM 管理密码,静态 HTML：packages/client/gm.html
gm.path-cancelled,静态HTML-GM,寻路取消,静态 HTML：packages/client/gm.html
gm.path-queue,静态HTML-GM,寻路队列,静态 HTML：packages/client/gm.html
gm.path-workers,静态HTML-GM,寻路线程,静态 HTML：packages/client/gm.html
gm.pathfinding-drop-note,静态HTML-GM,等待丢弃 0 · 结果过期 0,静态 HTML：packages/client/gm.html
gm.pathfinding-expanded-note,静态HTML-GM,峰值 0 · 成功 0,静态 HTML：packages/client/gm.html
gm.pathfinding-queue-note,静态HTML-GM,峰值 0 ms · 队列峰值 0,静态 HTML：packages/client/gm.html
gm.pathfinding-reset-meta,静态HTML-GM,寻路统计区间尚未开始。,静态 HTML：packages/client/gm.html
gm.pathfinding-run-note,静态HTML-GM,峰值 0 ms · 已完成 0,静态 HTML：packages/client/gm.html
gm.pathfinding-summary,静态HTML-GM,寻路调度摘要,静态 HTML：packages/client/gm.html
gm.peace-mode,静态HTML-GM,和平模式,静态 HTML：packages/client/gm.html
gm.player-book,静态HTML-GM,角色册,静态 HTML：packages/client/gm.html
gm.player-book-subtitle,静态HTML-GM,列表显示账号、角色名、显示名；搜索支持账号、角色名、显示名和地图中文名,静态 HTML：packages/client/gm.html
gm.player-bulk-ban-by-risk,静态HTML-GM,预览并批量封号,静态 HTML：packages/client/gm.html
gm.player-bulk-ban-preview,静态HTML-GM,尚未生成批量封号预览。,静态 HTML：packages/client/gm.html
gm.player-bulk-ban-reason.placeholder,静态HTML-GM,批量封号原因（可选）,静态 HTML：packages/client/gm.html
gm.player-database-meta,静态HTML-GM,当前还没有数据库表数据。,静态 HTML：packages/client/gm.html
gm.player-search.placeholder,静态HTML-GM,搜索账号 / 角色名 / 显示名 / 地图,静态 HTML：packages/client/gm.html
gm.player.presence.offline,静态HTML-GM,离线,静态 HTML：packages/client/gm.html
gm.preparing-redeem-editor,静态HTML-GM,正在准备分组编辑器…,静态 HTML：packages/client/gm.html
gm.presence-all,静态HTML-GM,在线状态: 全部,静态 HTML：packages/client/gm.html
gm.process-latest-sample,静态HTML-GM,全进程最近一次采样窗口,静态 HTML：packages/client/gm.html
gm.process-resident-memory,静态HTML-GM,进程常驻内存,静态 HTML：packages/client/gm.html
gm.process-system-cpu,静态HTML-GM,进程累计 system CPU,静态 HTML：packages/client/gm.html
gm.process-uptime,静态HTML-GM,进程运行时长,静态 HTML：packages/client/gm.html
gm.process-user-cpu,静态HTML-GM,进程累计 user CPU,静态 HTML：packages/client/gm.html
gm.realm-asc,静态HTML-GM,境界从低到高,静态 HTML：packages/client/gm.html
gm.realm-desc,静态HTML-GM,境界从高到低,静态 HTML：packages/client/gm.html
gm.redeem-code-list,静态HTML-GM,兑换码列表,静态 HTML：packages/client/gm.html
gm.redeem-code-list-subtitle,静态HTML-GM,可查看使用状态，并销毁指定可用兑换码,静态 HTML：packages/client/gm.html
gm.redeem-group-editor,静态HTML-GM,分组编辑,静态 HTML：packages/client/gm.html
gm.redeem-group-editor-subtitle,静态HTML-GM,新建时选择奖励物品和数量，后续也可继续修改,静态 HTML：packages/client/gm.html
gm.redeem-group-list,静态HTML-GM,分组列表,静态 HTML：packages/client/gm.html
gm.redeem-group-list-subtitle,静态HTML-GM,查看每个分组的兑换码总数、已使用数和可用数,静态 HTML：packages/client/gm.html
gm.redeem-status,静态HTML-GM,兑换码数据读取中…,静态 HTML：packages/client/gm.html
gm.refresh-player,静态HTML-GM,刷新当前玩家,静态 HTML：packages/client/gm.html
gm.refresh-state,静态HTML-GM,立即刷新,静态 HTML：packages/client/gm.html
gm.remove-all-bots,静态HTML-GM,移除全部机器人,静态 HTML：packages/client/gm.html
gm.remove-bot,静态HTML-GM,移除该机器人,静态 HTML：packages/client/gm.html
gm.reset-cpu-stats,静态HTML-GM,重置 CPU 统计,静态 HTML：packages/client/gm.html
gm.reset-heaven-gate,静态HTML-GM,重置天门,静态 HTML：packages/client/gm.html
gm.reset-network-stats,静态HTML-GM,重置流量统计,静态 HTML：packages/client/gm.html
gm.reset-pathfinding-stats,静态HTML-GM,重置寻路统计,静态 HTML：packages/client/gm.html
gm.reset-player,静态HTML-GM,回出生点,静态 HTML：packages/client/gm.html
gm.resident-gap,静态HTML-GM,常驻差额,静态 HTML：packages/client/gm.html
gm.resident-gap-note,静态HTML-GM,RSS - Heap 总量 - 外部内存，近似 native/栈/代码段,静态 HTML：packages/client/gm.html
gm.risk-asc,静态HTML-GM,风险从低到高,静态 HTML：packages/client/gm.html
gm.risk-desc,静态HTML-GM,风险从高到低,静态 HTML：packages/client/gm.html
gm.rss-heap-ratio,静态HTML-GM,RSS / Heap 已用,静态 HTML：packages/client/gm.html
gm.rss-memory,静态HTML-GM,RSS 内存,静态 HTML：packages/client/gm.html
gm.save-player,静态HTML-GM,保存当前标签,静态 HTML：packages/client/gm.html
gm.select-instance-left,静态HTML-GM,从左侧选择一个实例,静态 HTML：packages/client/gm.html
gm.select-instance-runtime,静态HTML-GM,选择实例查看运行时状态,静态 HTML：packages/client/gm.html
gm.select-redeem-group,静态HTML-GM,请选择一个分组查看兑换码。,静态 HTML：packages/client/gm.html
gm.server-logs-load-older,静态HTML-GM,加载更早 100 行,静态 HTML：packages/client/gm.html
gm.server-logs-meta,静态HTML-GM,日志尚未加载。,静态 HTML：packages/client/gm.html
gm.server-logs-refresh,静态HTML-GM,刷新最近 100 行,静态 HTML：packages/client/gm.html
gm.server-subtab-cpu,静态HTML-GM,CPU 信息,静态 HTML：packages/client/gm.html
gm.server-subtab-database,静态HTML-GM,数据库,静态 HTML：packages/client/gm.html
gm.server-subtab-logs,静态HTML-GM,日志,静态 HTML：packages/client/gm.html
gm.server-subtab-memory,静态HTML-GM,内存信息,静态 HTML：packages/client/gm.html
gm.server-subtab-overview,静态HTML-GM,总览,静态 HTML：packages/client/gm.html
gm.server-subtab-traffic,静态HTML-GM,流量统计,静态 HTML：packages/client/gm.html
gm.shell-brand-daojie-yusheng-gm,静态HTML-GM,道劫余生 · 监察司,静态 HTML：packages/client/gm.html
gm.shell-subtitle-batch-high-frequency-gm-actions,静态HTML-GM,批量执行高频 GM 操作,静态 HTML：packages/client/gm.html
gm.shell-subtitle-redeem-management-subtitle,静态HTML-GM,管理分组奖励、生成兑换码、查看使用情况与销毁指定兑换码,静态 HTML：packages/client/gm.html
gm.shell-subtitle-server-overview-subtitle,静态HTML-GM,全服监察总览,静态 HTML：packages/client/gm.html
gm.shell-title-daojie-yusheng,静态HTML-GM,道劫余生,静态 HTML：packages/client/gm.html
gm.shell-title-redeem-management,静态HTML-GM,兑换码管理,静态 HTML：packages/client/gm.html
gm.shortcut-add-herb-stock-1000,静态HTML-GM,全图草药库存 +1000,静态 HTML：packages/client/gm.html
gm.shortcut-cleanup-abnormal-temporary-tiles,静态HTML-GM,清理全图异常临时石头,静态 HTML：packages/client/gm.html
gm.shortcut-cleanup-invalid-items,静态HTML-GM,清理全部玩家无效物品,静态 HTML：packages/client/gm.html
gm.shortcut-compensate-combat-exp-2026-04-09,静态HTML-GM,战斗经验补偿-2026-04-09,静态 HTML：packages/client/gm.html
gm.shortcut-compensate-foundation-2026-04-09,静态HTML-GM,底蕴补偿-2026-04-09,静态 HTML：packages/client/gm.html
gm.shortcut-delete-empty-custom-technique-books,静态HTML-GM,清理空白功法残卷,静态 HTML：packages/client/gm.html
gm.shortcut-migrate-ai-arts-strength-v1-to-v2,静态HTML-GM,迁移旧版AI术法草稿,静态 HTML：packages/client/gm.html
gm.shortcut-migrate-recovery-pills,静态HTML-GM,恢复丹药迁移,静态 HTML：packages/client/gm.html
gm.shortcut-recover-empty-custom-technique-books,静态HTML-GM,修复空白功法残卷,静态 HTML：packages/client/gm.html
gm.shortcut-refresh-online-technique-templates,静态HTML-GM,刷新在线玩家功法模板,静态 HTML：packages/client/gm.html
gm.shortcut-repair-market-storage-item-ids,静态HTML-GM,修复坊市托管仓旧ID,静态 HTML：packages/client/gm.html
gm.shortcut-repair-quest-progress-payloads,静态HTML-GM,修复历史任务进度Payload,静态 HTML：packages/client/gm.html
gm.shortcut-return-all-to-default-spawn,静态HTML-GM,所有角色回新手村出生点,静态 HTML：packages/client/gm.html
gm.spawn-bots,静态HTML-GM,在选中角色附近生傀儡,静态 HTML：packages/client/gm.html
gm.summary-memory,静态HTML-GM,0 MB,静态 HTML：packages/client/gm.html
gm.summary-peace-mode,静态HTML-GM,关闭,静态 HTML：packages/client/gm.html
gm.summary-tick,静态HTML-GM,0 ms,静态 HTML：packages/client/gm.html
gm.system-cpu-time,静态HTML-GM,内核态 CPU 时间,静态 HTML：packages/client/gm.html
gm.system-load-average,静态HTML-GM,系统 load average,静态 HTML：packages/client/gm.html
gm.system-uptime,静态HTML-GM,系统运行时长,静态 HTML：packages/client/gm.html
gm.tab-players,静态HTML-GM,玩家管理,静态 HTML：packages/client/gm.html
gm.tab-redeem,静态HTML-GM,兑换码,静态 HTML：packages/client/gm.html
gm.tab-server,静态HTML-GM,服务器信息,静态 HTML：packages/client/gm.html
gm.tab-shortcuts,静态HTML-GM,快捷指令,静态 HTML：packages/client/gm.html
gm.tab-world,静态HTML-GM,世界管理,静态 HTML：packages/client/gm.html
gm.tick-window,静态HTML-GM,tick 占窗,静态 HTML：packages/client/gm.html
gm.toggle-peace-mode,静态HTML-GM,切换和平模式,静态 HTML：packages/client/gm.html
gm.total-inbound,静态HTML-GM,累计上行,静态 HTML：packages/client/gm.html
gm.total-outbound,静态HTML-GM,累计下行,静态 HTML：packages/client/gm.html
gm.total-players,静态HTML-GM,角色总数,静态 HTML：packages/client/gm.html
gm.traffic-reset-meta,静态HTML-GM,统计区间尚未开始。,静态 HTML：packages/client/gm.html
gm.traffic-total-in-note,静态HTML-GM,均次 0 B · 均秒 0 B/s,静态 HTML：packages/client/gm.html
gm.traffic.client-to-server-bytes,静态HTML-GM,客户端 -> 服务端累计字节,静态 HTML：packages/client/gm.html
gm.traffic.server-to-client-bytes,静态HTML-GM,服务端 -> 客户端累计字节,静态 HTML：packages/client/gm.html
gm.user-cpu-time,静态HTML-GM,用户态 CPU 时间,静态 HTML：packages/client/gm.html
gm.v8-heap-total,静态HTML-GM,V8 当前堆容量,静态 HTML：packages/client/gm.html
gm.v8-heap-used,静态HTML-GM,V8 已使用堆,静态 HTML：packages/client/gm.html
gm.v8-reserved-unused,静态HTML-GM,V8 已申请但尚未使用,静态 HTML：packages/client/gm.html
heaven-gate.action.cancel,开天门,取消,
heaven-gate.action.confirm,开天门,确认,
heaven-gate.action.confirm-enter,开天门,确认入天门,
heaven-gate.action.confirm-open,开天门,确认开天门,
heaven-gate.action.confirm-reroll,开天门,确认逆天改命,
heaven-gate.action.confirm-restore,开天门,确认补回,
heaven-gate.action.confirm-sever,开天门,确认斩断,
heaven-gate.action.enter,开天门,入天门,
heaven-gate.action.open,开天门,开天门,
heaven-gate.action.reroll,开天门,逆天改命,
heaven-gate.action.restore,开天门,补,
heaven-gate.action.restore-full,开天门,补回,
heaven-gate.action.sever,开天门,斩,
heaven-gate.action.sever-full,开天门,斩断,
heaven-gate.modal.close-hint,开天门,点击空白处关闭,
heaven-gate.popup.enter-desc,开天门,入天门会正式写入本次灵根并完成开天门，但不会代替突破动作。入天门后，多数情况下结果即定，难以再重抽或逆天改命。,
heaven-gate.popup.open-desc,开天门,开天门不耗境界修为。多灵根则更易出现，斩后更偏单一高值；被斩属性本局不再出现。对结果不满可入天门前逆天改命重开。,
heaven-gate.popup.reroll-desc,开天门,逆天改命会消耗 {cost} 点境界修为，并清掉当前结果，退回重新开天门状态。,
heaven-gate.popup.restore-desc,开天门,补回会使该灵根重入随机池，并提高复合可能；补回同样消耗 {cost} 点境界修为（上限 {percent}%）；当前结果会失效并退回可重开。,
heaven-gate.popup.sever-desc,开天门,斩断后，此系将不参与本次随机；留数越少，单条越易高值，但该系本局将不再出现。消耗 {cost} 点境界修为（上限 {percent}%）；当前已有结果会失效并退回可重开。,
heaven-gate.popup.sever-title,开天门,确认{action}{element}灵根,
heaven-gate.toast.max-sever,开天门,最多只能斩断四条灵根。,
heaven-gate.toast.no-player,开天门,当前未获取到角色状态。,
heaven-gate.toast.unavailable,开天门,当前已完成入天门，或暂时不处于可开天门状态。,
world-migration.line.peaceful,跨界,虚境,
world-migration.line.real,跨界,现世,
world-migration.modal.hint,跨界,切入他道后，随其之道。,
world-migration.modal.subtitle,跨界,当前世界：{world},
world-migration.modal.title,跨界,世界迁移,
world-migration.toast.not-ready,跨界,身未安定，暂不可跨界。,
offline-gain.toast.confirm-send-failed,离线挂机,连接尚未就绪，请稍后再次确认收取,
offline-gain.toast.confirm-timeout,离线挂机,云端确认结果尚未返回，请检查连接后重试,
offline-gain.toast.local-save-failed,离线挂机,离线挂机收益已确认，本地历史保存失败，云端总账仍已保留,
offline-gain.toast.saved,离线挂机,离线挂机收益已确认并保存：{count} 条,
offline-gain.modal.confirm-btn,离线收益,确认收取,
offline-gain.modal.confirming-btn,离线收益,正在确认…,
offline-gain.modal.hint.confirm,离线收益,确认后将结算云端离线收益并进入游戏,
offline-gain.modal.hint.confirming,离线收益,正在结算云端离线收益，请稍候,
offline-gain.modal.hint.save-failed,离线收益,本地历史无法持久化，确认后仍会进入游戏,
offline-gain.modal.hint.saved,离线收益,已存入本地浏览器,
offline-gain.modal.subtitle,离线收益,{count} 次离线记录 · {duration},
offline-gain.modal.title,离线收益,离线挂机收益,
connection.auth.expired-login,连接,灵气印记已散，请重新入世,登录态失效提示
connection.bootstrap.unavailable,连接,当前角色所在世界暂不可用，请稍后重试,角色运行时引导失败提示
connection.error.disconnected,连接,天地失联：{message},连接失败提示
connection.kicked.removed,连接,会话已失效，请重新入世,会话移除提示
connection.kicked.replaced,连接,此身已在别处显化,顶号登出提示
connection.kicked.server-shutdown,连接,服务器正在重启，请稍后重归天地,服务器关停重启提示
connection.redeem.disconnected,连接,气机已断，兑换未竟,断线拒绝兑换码提示
connection.session.restored,连接,灵气牵引已续，重归天地...,会话续期成功提示
connection.status.offline,连接,离线,离线状态
connection.status.redirecting,连接,迁移,重定向连接状态
connection.status.restoring,连接,重归,重连状态
connection.toast.reconnecting,连接,天地气机暂断，正尝试重连...,断线重连提示
runtime.toast.restart-soon,连接,天道有变，即将重启...,
body-training.bonus.all-attrs,炼体,全属性+{percent}%,
body-training.bonus.none,炼体,全属性暂未提升,
body-training.foundation.direct-infuse,炼体,当前可直接灌入 {foundation} 点底蕴。,
body-training.foundation.max-reach-level,炼体,当前最多可直达第 {level} 层。,
body-training.infuse.action,炼体,灌注,
body-training.infuse.all-action,炼体,全部灌注,
body-training.infuse.all-foundation,炼体,全部底蕴,
body-training.infuse.available-foundation,炼体,可用底蕴,
body-training.infuse.available-infuse-label,炼体,当前可灌,
body-training.infuse.confirm,炼体,确认灌注,
body-training.infuse.convert-exp,炼体,转化经验,
body-training.infuse.cost-foundation,炼体,消耗底蕴,
body-training.infuse.detail.insufficient-one-level,炼体,当前底蕴暂不足提升一层，可直接灌注 {foundation} 点底蕴。,
body-training.infuse.detail.rate,炼体,1 点底蕴 = {exp} 点炼体经验。,
body-training.infuse.foundation-count,炼体,{count} 底蕴,
body-training.infuse.insufficient-foundation,炼体,底蕴不足,
body-training.infuse.level-gain,炼体,+{level} 层,
body-training.infuse.max-level-gain-label,炼体,最多可升,
body-training.infuse.no-foundation,炼体,当前没有可用于灌注的底蕴。,
body-training.infuse.note.all,炼体,本次将直接灌入全部 {cost} 点底蕴。,
body-training.infuse.note.level,炼体,本次需要 {exp} 点炼体经验，换算为 {cost} 点底蕴。,
body-training.infuse.pick-mode,炼体,选择灌注方式,
body-training.infuse.preview-exp,炼体,预计当前经验,
body-training.infuse.preview-level,炼体,预计境界,
body-training.infuse.preview.max-level-gain,炼体,本次最多可提升 {level} 层,
body-training.infuse.preview.no-level-gain,炼体,可先灌注底蕴积累经验,
body-training.infuse.subtitle.current-level,炼体,当前第 {level} 层,
body-training.infuse.title,炼体,灌注炼体,
body-training.infuse.unavailable,炼体,暂不可用,
body-training.kicker.level,炼体,炼体层数,
body-training.label.current-bonus,炼体,当前总加成,
body-training.label.current-foundation,炼体,当前底蕴,
body-training.level,炼体,第 {level} 层,
body-training.remain-exp,炼体,距下一层还需 {exp} 炼体经验,
craft.workbench.alchemy.action.cancel,炼制,取消{modeLabel},
craft.workbench.alchemy.action.cancel-activity,炼制,取消当前{activityName},
craft.workbench.alchemy.action.delete-preset,炼制,删除已选,
craft.workbench.alchemy.action.full-start.alchemy,炼制,按完整丹方炼制,
craft.workbench.alchemy.action.full-start.forging,炼制,按完整器方炼制,
craft.workbench.alchemy.action.note.batch,炼制,择量制作，至多 {maxQuantity} 批，每批 {batchCount} {unit}。,
craft.workbench.alchemy.action.note.exact,炼制,当前投料已等同完整{recipeKind}。,
craft.workbench.alchemy.action.note.job-ready,炼制,当前技艺任务进行中，新{recipeKind}确认后即入队列。,
craft.workbench.alchemy.action.note.single,炼制,单批固定 {batchCount} {unit}，每{unit}独立判定；单批需灵石 {spiritStoneCost} 枚，单批耗时 {batchTime}。,
craft.workbench.alchemy.action.reset-draft,炼制,重置投料,
craft.workbench.alchemy.action.save-preset.create,炼制,保存自定义丹方,
craft.workbench.alchemy.action.save-preset.create.forging,炼制,保存自定义器方,
craft.workbench.alchemy.action.save-preset.overwrite,炼制,覆盖当前自定义丹方,
craft.workbench.alchemy.action.save-preset.overwrite.forging,炼制,覆盖当前自定义器方,
craft.workbench.alchemy.action.simple-tab.alchemy,炼制,去自创丹方调整,
craft.workbench.alchemy.action.simple-tab.forging,炼制,去自创器方调整,
craft.workbench.alchemy.category.accessory,炼制,饰品,
craft.workbench.alchemy.category.artifact,炼制,法宝,
craft.workbench.alchemy.category.body,炼制,护甲,
craft.workbench.alchemy.category.buff,炼制,增益,
craft.workbench.alchemy.category.head,炼制,头盔,
craft.workbench.alchemy.category.legs,炼制,鞋履,
craft.workbench.alchemy.category.recovery,炼制,恢复,
craft.workbench.alchemy.category.special,炼制,特殊,
craft.workbench.alchemy.category.technique,炼制,技艺,
craft.workbench.alchemy.category.weapon,炼制,武器,
craft.workbench.alchemy.confirm.batch-time,炼制,单批耗时,
craft.workbench.alchemy.confirm.error.exceed-max,炼制,当前最多可制作 {maxQuantity} 批。,
craft.workbench.alchemy.confirm.error.invalid-quantity,炼制,炼制数量有误,
craft.workbench.alchemy.confirm.error.no-materials,炼制,材料或灵石不足，当前无法制作。,
craft.workbench.alchemy.confirm.hint,炼制,至多 {maxQuantity} 批，每批产出 {outputCount} {unit}。动则暂停技艺。,
craft.workbench.alchemy.confirm.item-kind.alchemy,炼制,丹药,
craft.workbench.alchemy.confirm.item-kind.forging,炼制,器物,
craft.workbench.alchemy.confirm.mode.alchemy,炼制,炼制,
craft.workbench.alchemy.confirm.mode.forging,炼制,炼器,
craft.workbench.alchemy.confirm.no-startup,炼制,直接制作,
craft.workbench.alchemy.confirm.quantity-label,炼制,炼制数量,
craft.workbench.alchemy.confirm.quick.max,炼制,最大,
craft.workbench.alchemy.confirm.quick.one,炼制,1,
craft.workbench.alchemy.confirm.recipe-kind.alchemy,炼制,丹方,
craft.workbench.alchemy.confirm.recipe-kind.forging,炼制,器方,
craft.workbench.alchemy.confirm.recipe-label.full.alchemy,炼制,完整丹方,
craft.workbench.alchemy.confirm.recipe-label.full.forging,炼制,完整器方,
craft.workbench.alchemy.confirm.recipe-label.simple.alchemy,炼制,自创丹方,
craft.workbench.alchemy.confirm.recipe-label.simple.forging,炼制,自创器方,
craft.workbench.alchemy.confirm.recipe-summary,炼制,{recipeLabel} · 一批 {batchCount} {unit},
craft.workbench.alchemy.confirm.spirit-stone,炼制,灵石,
craft.workbench.alchemy.confirm.start,炼制,开始,
craft.workbench.alchemy.confirm.start-append,炼制,加入到队列,
craft.workbench.alchemy.confirm.start-preserve,炼制,开始(保留队列),
craft.workbench.alchemy.confirm.subtitle,炼制,{recipeName} · {recipeLabel},
craft.workbench.alchemy.confirm.title,炼制,选择{modeLabel}数量,
craft.workbench.alchemy.confirm.total-spirit-stone,炼制,总灵石,
craft.workbench.alchemy.confirm.total-spirit-stone-value,炼制,{cost} 灵石,
craft.workbench.alchemy.confirm.total-time,炼制,本次总耗时,
craft.workbench.alchemy.confirm.total-time-value,炼制,{ticks} 息,
craft.workbench.alchemy.confirm.unit.alchemy,炼制,枚,
craft.workbench.alchemy.confirm.unit.forging,炼制,件,
craft.workbench.alchemy.control.realm,炼制,境界,
craft.workbench.alchemy.control.recipe-type.alchemy,炼制,丹方类型,
craft.workbench.alchemy.control.recipe-type.forging,炼制,器方类型,
craft.workbench.alchemy.item-kind.alchemy,炼制,药名,
craft.workbench.alchemy.item-kind.forging,炼制,器物,
craft.workbench.alchemy.job.batch-output,炼制,每批 {count} {unit},
craft.workbench.alchemy.job.empty,炼制,暂无{activityName}任务。,
craft.workbench.alchemy.job.failure-count,炼制,失败 {count},
craft.workbench.alchemy.job.progress,炼制,炼制进度,
craft.workbench.alchemy.job.progress-value,炼制,{completed} / {quantity} 批,
craft.workbench.alchemy.job.quantity,炼制,数量 {quantity} 批,
craft.workbench.alchemy.job.remaining,炼制,剩余 {ticks},
craft.workbench.alchemy.job.spirit-stone,炼制,灵石 {count},
craft.workbench.alchemy.job.success-count,炼制,成功 {count},
craft.workbench.alchemy.job.title,炼制,当前任务,
craft.workbench.alchemy.metric.success.alchemy,炼制,成丹率 {rate},
craft.workbench.alchemy.metric.success.forging,炼制,成器率 {rate},
craft.workbench.alchemy.noun.alchemy-recipe,炼制,丹方,
craft.workbench.alchemy.noun.forging-recipe,炼制,器方,
craft.workbench.alchemy.phase.brewing,炼制,制作中,
craft.workbench.alchemy.phase.paused,炼制,等待恢复,
craft.workbench.alchemy.realm.foundation,炼制,筑基,
craft.workbench.alchemy.realm.mortal,炼制,凡胎,
craft.workbench.alchemy.realm.qi,炼制,练气,
craft.workbench.alchemy.recipe-list.empty-category,炼制,当前分类下还没有可炼制的{noun}。,
craft.workbench.alchemy.recipe-list.empty-current,炼制,当前没有可用{noun}。,
craft.workbench.alchemy.recipe-list.loading,炼制,{noun}查探中...,
craft.workbench.alchemy.subtitle.alchemy,炼制,炼丹 Lv.{alchemyLevel} · 采集 Lv.{gatherLevel},
craft.workbench.alchemy.subtitle.forging,炼制,炼器 Lv.{level} · 技艺器方,
craft.workbench.alchemy.subtitle.job,炼制,当前任务：{itemName} · {completed} / {quantity} 批,
craft.workbench.alchemy.tab.full-alchemy,炼制,完整丹方,
craft.workbench.alchemy.tab.full-forging,炼制,完整器方,
craft.workbench.alchemy.tab.simple-alchemy,炼制,自创丹方,
craft.workbench.alchemy.tab.simple-forging,炼制,自创器方,
craft.workbench.alchemy.topbar.level.alchemy,炼制,炼丹等级,
craft.workbench.alchemy.topbar.level.forging,炼制,炼器等级,
craft.workbench.alchemy.topbar.note,炼制,悬浮或点按{itemKind}可查看效果与来源,
craft.workbench.forging.beginner-recipes,炼制,入门器方,
craft.workbench.forging.placeholder.text,炼制,当前炼器只开放最低级工具类器方；未装备炼器工具时可以进入菜单，但不会获得工具加成。,
