  [待轉換] packages\server\data\content\realm-levels.json

===== opencc 字級轉換行 =====
    packages\server\data\content\realm-levels.json: 合体四层 → 合體四層
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 四层 → 四層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 内外如一，罡气自成 → 內外如一，罡氣自成
    packages\server\data\content\realm-levels.json: 合体五层 → 合體五層
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 五层 → 五層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 神躯稳固，万邪难侵 → 神軀穩固，萬邪難侵
    packages\server\data\content\realm-levels.json: 合体六层 → 合體六層
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 六层 → 六層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 六转合真，身魂无隙 → 六轉合真，身魂無隙
    packages\server\data\content\realm-levels.json: 合体七层 → 合體七層
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 七层 → 七層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 一念动时，天地相应 → 一念動時，天地相應
    packages\server\data\content\realm-levels.json: 合体八层 → 合體八層
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 八层 → 八層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 八方灵机，尽归己用 → 八方靈機，盡歸己用
    packages\server\data\content\realm-levels.json: 合体九层 → 合體九層
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 九层 → 九層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 九炼真躯，将成未成 → 九煉真軀，將成未成
    packages\server\data\content\realm-levels.json: 合体巅峰 → 合體巔峰
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 巅峰 → 巔峰
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 合体巅峰，神形圆融 → 合體巔峰，神形圓融
    packages\server\data\content\realm-levels.json: 合体大圆满 → 合體大圓滿
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 大圆满 → 大圓滿
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 合一无漏，只差大乘 → 合一無漏，只差大乘
    packages\server\data\content\realm-levels.json: 合体 → 合體
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 道身已备，半步大乘 → 道身已備，半步大乘
    packages\server\data\content\realm-levels.json: 大乘一层 → 大乘一層
    packages\server\data\content\realm-levels.json: 一层 → 一層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 大乘初登，道身自显 → 大乘初登，道身自顯
    packages\server\data\content\realm-levels.json: 大乘二层 → 大乘二層
    packages\server\data\content\realm-levels.json: 二层 → 二層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 神通与道，并进不悖 → 神通與道，並進不悖
    packages\server\data\content\realm-levels.json: 大乘三层 → 大乘三層
    packages\server\data\content\realm-levels.json: 三层 → 三層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 一举一动，皆合大势 → 一舉一動，皆合大勢
    packages\server\data\content\realm-levels.json: 大乘四层 → 大乘四層
    packages\server\data\content\realm-levels.json: 四层 → 四層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 道力外放，可镇山河 → 道力外放，可鎮山河
    packages\server\data\content\realm-levels.json: 大乘五层 → 大乘五層
    packages\server\data\content\realm-levels.json: 五层 → 五層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 万法归一，道心如镜 → 萬法歸一，道心如鏡
    packages\server\data\content\realm-levels.json: 大乘六层 → 大乘六層
    packages\server\data\content\realm-levels.json: 六层 → 六層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 六返大成，真我无缺 → 六返大成，真我無缺
    packages\server\data\content\realm-levels.json: 大乘七层 → 大乘七層
    packages\server\data\content\realm-levels.json: 七层 → 七層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 一念可动，乾坤气数 → 一念可動，乾坤氣數
    packages\server\data\content\realm-levels.json: 大乘八层 → 大乘八層
    packages\server\data\content\realm-levels.json: 八层 → 八層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 八极皆闻，其道之音 → 八極皆聞，其道之音
    packages\server\data\content\realm-levels.json: 大乘九层 → 大乘九層
    packages\server\data\content\realm-levels.json: 九层 → 九層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 九炼道身，将满未满 → 九煉道身，將滿未滿
    packages\server\data\content\realm-levels.json: 大乘巅峰 → 大乘巔峰
    packages\server\data\content\realm-levels.json: 巅峰 → 巔峰
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 大乘巅峰，返璞归真 → 大乘巔峰，返璞歸真
    packages\server\data\content\realm-levels.json: 大乘大圆满 → 大乘大圓滿
    packages\server\data\content\realm-levels.json: 大圆满 → 大圓滿
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 道果无瑕，只待渡劫 → 道果無瑕，只待渡劫
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 天劫将临，半步渡劫 → 天劫將臨，半步渡劫
    packages\server\data\content\realm-levels.json: 渡劫一层 → 渡劫一層
    packages\server\data\content\realm-levels.json: 一层 → 一層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 渡劫二层 → 渡劫二層
    packages\server\data\content\realm-levels.json: 二层 → 二層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 雷息入骨，意志更坚 → 雷息入骨，意志更堅
    packages\server\data\content\realm-levels.json: 渡劫三层 → 渡劫三層
    packages\server\data\content\realm-levels.json: 三层 → 三層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 三灾余波，难撼道心 → 三災餘波，難撼道心
    packages\server\data\content\realm-levels.json: 渡劫四层 → 渡劫四層
    packages\server\data\content\realm-levels.json: 四层 → 四層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 劫云未至，威压先生 → 劫雲未至，威壓先生
    packages\server\data\content\realm-levels.json: 渡劫五层 → 渡劫五層
    packages\server\data\content\realm-levels.json: 五层 → 五層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 真我如铁，可抗天威 → 真我如鐵，可抗天威
    packages\server\data\content\realm-levels.json: 渡劫六层 → 渡劫六層
    packages\server\data\content\realm-levels.json: 六层 → 六層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 六返应劫，神魂不动 → 六返應劫，神魂不動
    packages\server\data\content\realm-levels.json: 渡劫七层 → 渡劫七層
    packages\server\data\content\realm-levels.json: 七层 → 七層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 渡劫八层 → 渡劫八層
    packages\server\data\content\realm-levels.json: 八层 → 八層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 八荒雷意，皆可借势 → 八荒雷意，皆可借勢
    packages\server\data\content\realm-levels.json: 渡劫九层 → 渡劫九層
    packages\server\data\content\realm-levels.json: 九层 → 九層
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 九炼劫身，将成未成 → 九煉劫身，將成未成
    packages\server\data\content\realm-levels.json: 渡劫巅峰 → 渡劫巔峰
    packages\server\data\content\realm-levels.json: 巅峰 → 巔峰
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 渡劫巅峰，天威临顶 → 渡劫巔峰，天威臨頂
    packages\server\data\content\realm-levels.json: 渡劫大圆满 → 渡劫大圓滿
    packages\server\data\content\realm-levels.json: 大圆满 → 大圓滿
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 劫火圆融，只差飞升 → 劫火圓融，只差飛昇
    packages\server\data\content\realm-levels.json: 半步飞升 → 半步飛昇
    packages\server\data\content\realm-levels.json: 半步飞升 → 半步飛昇
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階
    packages\server\data\content\realm-levels.json: 尘缘将断，半步飞升 → 塵緣將斷，半步飛昇
    packages\server\data\content\realm-levels.json: 飞升 → 飛昇
    packages\server\data\content\realm-levels.json: 飞升 → 飛昇
    packages\server\data\content\realm-levels.json: 帝阶 → 帝階

共 1 個文件，待轉換 1 個（dry-run，未寫盤）
